iter	RMSE
0	1.328490776
1	1.251807799
2	1.179828461
3	1.127923717
4	1.069619625
5	1.036974869
6	1.009651708
7	0.983111365
8	0.9522558669
9	0.929826755
10	0.9114348347
11	0.8948092405
12	0.8816774568
13	0.8762121859
14	0.8697362873
15	0.8569454811
16	0.8489356905
17	0.8381422182
18	0.8167263358
19	0.8028806722
20	0.7958884421
21	0.7892946433
22	0.7793979536
23	0.7749952347
24	0.7661744038
25	0.7556067008
26	0.747760419
27	0.7408539045
28	0.7274557543
29	0.7251194491
30	0.7222864218
31	0.7129854862
32	0.7104752465
33	0.7083354344
34	0.7064209268
35	0.7039982193
36	0.6935086461
37	0.6919564791
38	0.688919977
39	0.6865228534
40	0.6842679087
41	0.6825128005
42	0.6808208886
43	0.6793441611
44	0.6680862086
45	0.6668699014
46	0.6651438113
47	0.6639321104
48	0.6617362407
49	0.6605480651
50	0.6594423751
51	0.6495466586
52	0.6490046368
53	0.6388024177
54	0.6352696593
55	0.6340425158
56	0.6270470502
57	0.6258355858
58	0.6185193834
59	0.6079646808
60	0.5988008244
61	0.5975218946
62	0.5962029289
63	0.5934261501
64	0.5872526265
65	0.5866630689
66	0.5778995579
67	0.5735367947
68	0.5677257171
69	0.5596993024
70	0.5566182369
71	0.5540786551
72	0.5536180909
73	0.5532222619
74	0.5474361891
75	0.5433305516
76	0.5382014444
77	0.5334912852
78	0.5310137276
79	0.5273281802
80	0.52321274
81	0.5214065705
82	0.5168564213
83	0.5122147876
84	0.509813468
85	0.5088790299
86	0.5052991295
87	0.5040266016
88	0.5017726091
89	0.4979516611
90	0.4945630699
91	0.4904208789
92	0.4871501037
93	0.484796799
94	0.4813651761
95	0.4809744467
96	0.479344322
97	0.4761125703
98	0.4758786109
99	0.4750020444
