iter	Passed	Remaining
0	47	4744
1	48	2396
2	49	1608
3	50	1214
4	51	977
5	52	819
6	53	704
7	53	618
8	54	550
9	55	496
10	55	452
11	56	415
12	57	384
13	57	355
14	58	330
15	59	310
16	59	291
17	60	276
18	61	262
19	62	249
20	63	237
21	63	226
22	64	216
23	65	207
24	66	199
25	67	191
26	67	183
27	68	176
28	69	169
29	70	165
30	71	159
31	72	153
32	73	148
33	73	143
34	74	138
35	75	134
36	76	129
37	76	125
38	77	121
39	78	117
40	79	114
41	79	110
42	80	106
43	81	103
44	82	100
45	82	97
46	83	94
47	84	91
48	84	88
49	84	84
50	85	81
51	85	78
52	85	75
53	85	73
54	86	70
55	86	67
56	86	65
57	86	62
58	86	60
59	87	58
60	87	55
61	87	53
62	87	51
63	87	49
64	88	47
65	88	45
66	88	43
67	88	41
68	88	39
69	89	38
70	89	36
71	89	34
72	89	33
73	89	31
74	90	30
75	90	28
76	90	27
77	90	25
78	90	24
79	91	22
80	91	21
81	91	20
82	91	18
83	91	17
84	92	16
85	92	15
86	92	13
87	92	12
88	92	11
89	93	10
90	93	9
91	93	8
92	93	7
93	94	6
94	94	4
95	94	3
96	94	2
97	94	1
98	95	0
99	95	0
